,Quick,Insertion,Radix,Merge,Bubble,
C++,6.85201741,2.54281996,0.19006494,4.6020774,42.3199424,
Go,3.90539264,3.22607616,0.50026752,0.70855168,23.27812864,
Java,30.18082228,9.57435139,1.51246857,1.49956943,79.3769592,
Javascript,5.987985609999996,4.445310010000007,0.5775042499999858,1.9723984399999972,39.641890470000035,
LuaJIT,0.7203300000000001,12.14728,0.4058600000000076,2.818569999999991,36.832520000000024,
Lua,2.88919,114.52131,3.7660900000000748,8.117240000000145,395.6391999999999,
Perl,907.5487667799987,552.8858155500006,14.26622574999101,27.23164084000473,2683.023861650006,
PyPy,28.4655008,6.94130642,1.11994438,3.71293065,42.02070486,
Python,465.44730615,370.05911905,6.30111147,14.01169927,957.10147578,
Rust,289.87645863,302.10050778,4.36137708,9.036366,864.35834349,
