Quick,C++,Java,-8.068171432868873,8.572854365228951e-13
Quick,Java,Rust,-9.016981677920713,7.608396372312617e-15
Quick,Rust,Go,9.026720630237907,0.9999999999999928
Quick,Go,LuaJIT,7.850756727076547,0.999999999997498
Quick,LuaJIT,PyPy,-10.314191695319115,1.129728091104781e-17
Quick,PyPy,Lua,9.508689150565166,0.9999999999999993
Quick,Lua,Javascript,-4.897673546885839,1.8904441512313405e-06
Quick,Javascript,Perl,-9.053917030411696,6.323068253511772e-15
Quick,Perl,Python,9.118384261163492,0.9999999999999954
Insertion,C++,Java,-15.703879221478,6.271628412505122e-29
Insertion,Java,Rust,-546.8034700712477,2.15574086131078e-174
Insertion,Rust,Go,1087.5286997287053,1.0
Insertion,Go,LuaJIT,-485.77259250128213,2.6311298388378635e-169
Insertion,LuaJIT,PyPy,93.60721848320757,1.0
Insertion,PyPy,Lua,-819.97153698698,8.255153298720644e-192
Insertion,Lua,Javascript,891.7207966189894,1.0
Insertion,Javascript,Perl,-799.6141864708377,9.94200417768895e-191
Insertion,Perl,Python,367.35391252169063,1.0
Merge,C++,Java,39.125107562768314,1.0
Merge,Java,Rust,-79.53480298908651,7.947718282753462e-92
Merge,Rust,Go,553.2836371436657,1.0
Merge,Go,LuaJIT,-94.13753541818076,5.584125436728542e-99
Merge,LuaJIT,PyPy,-2.146775664297144,0.017126952084337278
Merge,PyPy,Lua,-10.243173161063037,1.6133649843059773e-17
Merge,Lua,Javascript,91.43938133599927,1.0
Merge,Javascript,Perl,-276.2000479582132,4.755350797942491e-145
Merge,Perl,Python,184.49755318063882,1.0
Radix,C++,Java,-7.991950511293687,1.248744223727689e-12
Radix,Java,Rust,-17.19859969899164,8.452347913059781e-32
Radix,Rust,Go,593.8698739778403,1.0
Radix,Go,LuaJIT,13.740932727692398,1.0
Radix,LuaJIT,PyPy,-11.80744883062401,6.6276305212147684e-21
Radix,PyPy,Lua,-43.31468597884795,1.8388340917779867e-66
Radix,Lua,Javascript,56.941373850971445,1.0
Radix,Javascript,Perl,-227.31352590838688,1.0946967720395722e-136
Radix,Perl,Python,112.16451934027009,1.0
Bubble,C++,Java,-120.3019551363148,1.967156117782221e-109
Bubble,Java,Rust,-1547.6808329614994,4.0420269999070936e-219
Bubble,Rust,Go,1645.1168822514826,1.0
Bubble,Go,LuaJIT,-70.02882671014393,1.8972480261824117e-86
Bubble,LuaJIT,PyPy,-50.73173515921755,5.752560621291233e-73
Bubble,PyPy,Lua,-1585.7386402288446,3.648973062752435e-220
Bubble,Lua,Javascript,1644.9458170802216,1.0
Bubble,Javascript,Perl,-629.4119965599257,1.9322037828042986e-180
Bubble,Perl,Python,424.180303652217,1.0
C++,Quick,Insertion,10.067278490490652,1.0
C++,Insertion,Merge,-28.044829658533395,3.349701450197141e-49
C++,Merge,Radix,60.38376667804767,1.0
C++,Radix,Bubble,-219.18352924552406,4.000713873821322e-135
Java,Quick,Insertion,6.084593332800538,0.9999999889342688
Java,Insertion,Merge,20.508672278756926,1.0
Java,Merge,Radix,-0.1192259133417946,0.45266898885550494
Java,Radix,Bubble,-422.2540867886456,2.7689211112478024e-163
Rust,Quick,Insertion,-0.3809788563755515,0.3520176331714632
Rust,Insertion,Merge,1056.441574487545,1.0
Rust,Merge,Radix,1722.7327649885137,1.0
Rust,Radix,Bubble,-1877.29789097622,2.02094260949755e-227
Go,Quick,Insertion,1.6744805927493969,0.9514037108935148
Go,Insertion,Merge,155.1394960757694,1.0
Go,Merge,Radix,13.081850076134435,1.0
Go,Radix,Bubble,-124.9332557874128,4.788861402153894e-111
LuaJIT,Quick,Insertion,-632.8938802847969,1.1192295164255994e-180
LuaJIT,Insertion,Merge,434.9700335497086,1.0
LuaJIT,Merge,Radix,178.70709725993927,1.0
LuaJIT,Radix,Bubble,-512.4004983618445,1.338347528074225e-171
PyPy,Quick,Insertion,8.007828731250141,0.9999999999988453
PyPy,Insertion,Merge,7.78705903084064,0.9999999999965795
PyPy,Merge,Radix,6.842874236242283,0.9999999996732049
